Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Parkinson disease	119/249	3.04803026639585e-20	9.57081503648296e-18	0	0	3.38932051282051	152.306595074953	NDUFA13;NDUFA11;NDUFA12;NDUFA10;UBE2L6;PARK7;COX6A1;UBE2L3;TXN2;PSMD8;PSMD9;PSMD6;PSMD4;PSMD2;PSMD3;PSMD1;PRKACA;PRKACB;MAP3K5;DAXX;SDHC;SDHD;SDHA;SDHB;COX6B1;COX7A2L;UQCRC1;VDAC3;PPIF;VDAC1;UQCRC2;TP53;NDUFB10;PSMD14;UBA7;NDUFB11;PSMD13;ITPR1;HTRA2;ITPR2;COX7A2;TXN;UBE2J2;KLC1;UQCRH;PLCG1;CYC1;NDUFV1;TRAP1;GNAS;CALM3;UBA1;CALM1;CALM2;COX4I1;CASP9;CASP3;UQCRFS1;COX8A;APAF1;NDUFC2;NDUFC1;PSMA5;PSMA6;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;NDUFB9;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;GNAI2;PSMB6;PSMB7;PSMB4;PSMB2;PSMB3;PSMB1;CAMK2G;NDUFA9;NDUFA8;NDUFA7;NDUFA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;UBE2G1;UBE2G2;COX6C;TUBB4A;UQCRHL;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;NDUFAB1;PSMC2;BAX
Huntington disease	135/306	6.29502858613283e-19	9.88319488022855e-17	0	0	2.92656234275938	122.650344712842	NDUFA13;NDUFA11;NDUFA12;NDUFA10;COX6A1;PSMD8;PSMD9;PSMD6;PSMD4;CREB3L4;PSMD2;PSMD3;PSMD1;AP2M1;MAP3K5;SDHC;SDHD;SDHA;SDHB;COX6B1;COX7A2L;UQCRC1;VDAC3;PPIF;TFAM;VDAC1;UQCRC2;TP53;NDUFB10;PSMD14;NDUFB11;PSMD13;PIK3R4;ITPR1;COX7A2;KLC1;UQCRH;NRBF2;CYC1;MAP2K7;NDUFV1;DNAL4;DNAL1;COX4I1;CLTC;CLTA;AP2A1;CASP9;ACTR1A;ACTR1B;CASP3;RB1CC1;UQCRFS1;COX8A;APAF1;GPX7;NDUFC2;NDUFC1;TRAF2;WIPI2;PSMA5;PSMA6;CREB3;PSMA3;PSMA4;CREB1;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;PLCB2;DCTN6;BECN1;DCTN5;NDUFB9;HDAC2;NDUFB7;DCTN2;NDUFB6;DCTN1;HDAC1;NDUFB5;NDUFB4;DCTN3;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;PSMB4;PSMB2;POLR2A;PSMB3;PSMB1;AP2S1;POLR2E;POLR2F;POLR2G;POLR2I;POLR2J;POLR2L;NDUFA9;NDUFA8;NDUFA7;NDUFA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;AP2B1;COX6C;TUBB4A;UQCRHL;SOD1;PSMC5;REST;PSMC6;PSMC3;PSMC4;PSMC1;NDUFAB1;PSMC2;BAX
Epstein-Barr virus infection	96/202	2.11280319317264e-16	2.2114006755207e-14	0	0	3.34019900008489	120.558957866723	TRADD;PIK3CD;CD3G;CD3E;ITGAL;CD3D;PSMD8;IKBKB;CASP9;PSMD6;CCND3;TBK1;PSMD4;PSMD2;CASP3;PSMD3;AKT1;PSMD1;IKBKG;RAC1;HLA-DOA;B2M;IKBKE;JAK3;HLA-DPA1;IFNAR2;MAP2K3;PDIA3;ENTPD1;USP7;APAF1;DDX58;HLA-B;HLA-C;TAP1;TRAF2;HLA-A;TYK2;IRAK4;HLA-F;RUNX3;HLA-E;DDB2;TAPBP;IRF3;OAS1;OAS2;OAS3;TRAF5;IRF7;TP53;IRF9;HLA-DQB1;HDAC2;PSMD14;PSMD13;HDAC1;HLA-DMA;HLA-DMB;BCL2L11;SAP30L;E2F3;FADD;CD58;BAK1;MAP2K7;HLA-DQA2;HLA-DQA1;MAP2K6;HLA-DRB5;STAT1;STAT2;ADRM1;EIF2AK2;ISG15;MAPK14;PSMC5;MAVS;SNW1;PSMC6;CDK6;PSMC3;PSMC4;CDK4;PSMC1;PSMC2;CDK2;HLA-DPB1;HLA-DRA;BAX;CALR;TAB1;CD247;MAP3K14;HLA-DRB1;MYD88
Proteasome	36/46	3.8095293192551e-16	2.99048051561525e-14	0	0	13.1719822554284	467.65615918503	PSMD14;PSMD13;POMP;PSMA7;PSMB10;PSMB6;PSMD8;PSMB7;PSMD9;PSMB4;PSMD6;PSMB2;PSMD4;PSMB3;PSMD2;PSMB1;PSMD3;PSMD1;PSMF1;ADRM1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSMC1;PSMC2;PSME1;PSME2
Prion disease	118/273	6.57175622098838e-16	4.1270629067807e-14	0	0	2.81356666231542	98.3582963246644	NDUFA13;NDUFA11;NDUFA12;NDUFA10;COX6A1;PSMD8;PSMD9;PSMD6;PSMD4;CREB3L4;PSMD2;PSMD3;PSMD1;PRKACA;PRKACB;CSNK2A1;CYBA;SDHC;SDHD;SDHA;SDHB;COX6B1;COX7A2L;CSNK2B;UQCRC1;VDAC3;PPIF;VDAC1;UQCRC2;NOTCH1;NDUFB10;PSMD14;NDUFB11;PSMD13;ITPR1;ITPR2;COX7A2;KLC1;UQCRH;STIP1;CYC1;NDUFV1;GSK3B;COX4I1;PIK3CD;CASP9;PPP3CA;PPP3CB;CASP3;RAC2;UQCRFS1;RAC1;COX8A;APAF1;NDUFC2;NDUFC1;PSMA5;PSMA6;CREB3;PSMA3;PSMA4;CREB1;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;NDUFB9;NDUFB7;ATF6B;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;PSMB4;PSMB2;PSMB3;CCL5;PSMB1;FYN;MAPK3;NDUFA9;NDUFA8;NDUFA7;NDUFA5;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;MAPK14;TUBB4A;UQCRHL;SOD1;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;NDUFAB1;PSMC2;BAX
Amyotrophic lateral sclerosis	145/364	1.57901493050567e-15	8.26351146964632e-14	0	0	2.45265866321849	83.5914517437132	NDUFA13;NDUFA11;NDUFA12;NDUFA10;COX6A1;ACTB;ACTG1;GLE1;PSMD8;PSMD9;PSMD6;TBK1;PSMD4;PSMD2;PSMD3;PSMD1;MAP3K5;MAP2K3;GABARAPL2;DAXX;NUP210;ANXA11;SDHC;SDHD;SDHA;SDHB;COX6B1;NUP93;COX7A2L;UQCRC1;VDAC1;UQCRC2;PFN1;TP53;OPTN;VCP;NDUFB10;PSMD14;NDUFB11;PSMD13;PIK3R4;COX7A2;KLC1;GABARAP;UQCRH;TPR;NRBF2;CYC1;NDUFV1;MAP2K6;SETX;DNAL4;DNAL1;COX4I1;WDR41;CASP9;PPP3CA;ACTR1A;PPP3CB;ACTR1B;CASP3;RB1CC1;CASP1;ANXA7;UQCRFS1;RAC1;SPG11;RAB8A;COX8A;APAF1;GPX7;NDUFC2;NDUFC1;TRAF2;WIPI2;TNFRSF1B;TNFRSF1A;PSMA5;PSMA6;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;CAT;NDUFS4;NDUFS3;NDUFS2;NDUFS1;DCTN6;BECN1;DCTN5;NDUFB9;NDUFB7;DCTN2;NDUFB6;DCTN1;NDUFB5;NDUFB4;DCTN3;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;TANK;PSMA7;PSMB6;PSMB7;PSMB4;PSMB2;PSMB3;PSMB1;RAE1;NDUFA9;NDUFA8;HNRNPA3;NDUFA7;NDUFA5;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;MAPK14;TUBB4A;UQCRHL;SOD1;PSMC5;CCS;PSMC6;PSMC3;PSMC4;PSMC1;HNRNPA2B1;NDUFAB1;PSMC2;BAX;NUP37
Thermogenesis	103/232	5.41212293428405e-15	2.15660591433587e-13	0	0	2.94532456643573	96.7543095370752	NDUFA13;SMARCB1;KDM1A;NDUFA11;NDUFA12;NDUFA10;COX6A1;ACTB;ACTG1;RPS6KA3;CREB3L4;RPS6KA1;PRKACA;PRKACB;MAP3K5;MAP2K3;CPT1A;SMARCC1;SMARCC2;ACSL5;TSC2;ACSL4;SDHC;ACSL3;SDHD;SDHA;SDHB;COX6B1;COX7A2L;UQCRC1;UQCRC2;COX19;COX16;NDUFB10;COX15;NDUFB11;COX17;COX7A2;UQCRH;COX11;COX14;CYC1;NDUFV1;COA4;COA3;SMARCA4;NDUFAF7;GNAS;COX4I1;PRKAG1;CPT2;UQCRFS1;COA6;COA5;COX8A;ACTL6A;NDUFC2;SIRT6;NDUFC1;ARID1A;CREB3;CREB1;NDUFS8;NDUFS7;NDUFS6;AKT1S1;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SOS1;NDUFB9;SMARCD1;SMARCD2;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;ADCY3;NDUFB1;UQCR11;UQCR10;COX5B;ADCY7;COX5A;SLC25A20;NDUFA9;SMARCE1;NDUFA8;NDUFA7;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;MAPK14;UQCRHL;NDUFAB1;RPS6KB2;PNPLA2
Pathways of neurodegeneration	176/475	5.49453736136527e-15	2.15660591433587e-13	0	0	2.18544234260634	71.7590474063214	NDUFA13;NDUFA11;NDUFA12;NDUFA10;UBE2L6;PARK7;COX6A1;ZFYVE1;UBE2L3;PSMD8;PSMD9;PSMD6;TBK1;PSMD4;PSMD2;PSMD3;CAPN2;PSMD1;CAPN1;MAP3K5;MAP2K3;GABARAPL2;DAXX;MAP2K2;CSNK2A1;PRKCB;PRKCA;SDHC;SDHD;SDHA;SDHB;COX6B1;COX7A2L;CSNK2B;UQCRC1;VDAC3;PPIF;VDAC1;UQCRC2;OPTN;PPID;VCP;NDUFB10;PSMD14;UBA7;NDUFB11;PSMD13;ITPR1;PIK3R4;ITPR2;HTRA2;COX7A2;PSEN1;KLC1;UBE2J2;GABARAP;UQCRH;ATXN3;ATXN1;DVL2;NRBF2;PLCG1;FADD;CYC1;MAP2K7;NDUFV1;MAP2K6;TRAP1;CDK5;CALM3;UBA1;CALM1;CALM2;DNAL4;DNAL1;GSK3B;COX4I1;WDR41;ATP2A3;FASLG;CASP9;PPP3CA;ACTR1A;PPP3CB;CASP7;ACTR1B;CASP3;RB1CC1;UQCRFS1;RAC1;SPG11;RAB8A;COX8A;APAF1;GPX7;NDUFC2;NDUFC1;TRAF2;WNT9A;WIPI2;TNFRSF1B;TNFRSF1A;PSMA5;PSMA6;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;CAT;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;PLCB2;DCTN6;BECN1;NDUFB9;DCTN5;NDUFB7;NDUFB6;DCTN2;NDUFB5;DCTN1;NDUFB4;NDUFB3;DCTN3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;TANK;HSD17B10;COX5A;PSMA7;PSMB6;PSMB7;PSMB4;PSMB2;PSMB3;PSMB1;BAK1;CAMK2G;MAPK3;NDUFA9;NDUFA8;NDUFA7;NDUFA5;CSNK1A1;NDUFA4;BAD;NDUFA3;ADRM1;NDUFA2;NDUFA1;UBE2G1;UBE2G2;COX6C;MAPK14;TUBB4A;UQCRHL;SOD1;PSMC5;CCS;PSMC6;PSMC3;APC;PSMC4;PSMC1;PSMC2;NDUFAB1;BAX
Oxidative phosphorylation	69/133	1.46102560157857e-14	5.09735598772967e-13	0	0	3.96166544117647	126.206984525303	NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;TCIRG1;COX6A1;UQCRFS1;ATP6V1E1;COX8A;ATP6V0B;ATP6V0E1;ATP6AP1;NDUFC2;SDHC;NDUFC1;SDHD;SDHA;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS4;UQCRC1;ATP6V1B2;NDUFS3;NDUFS2;NDUFS1;UQCRC2;ATP6V0D1;ATP6V1A;NDUFB9;NDUFB7;NDUFB10;NDUFB6;COX15;NDUFB11;NDUFB5;NDUFB4;COX17;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;COX11;CYC1;ATP6V0E2;ATP6V1D;NDUFV1;ATP6V1C1;ATP6V1F;NDUFA9;NDUFA8;NDUFA7;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRHL;NDUFAB1
Alzheimer disease	141/369	1.87272590702484e-13	5.880359348058e-12	0	0	2.28732899145902	67.0329463593262	NDUFA13;NDUFA11;NDUFA12;NDUFA10;COX6A1;PSMD8;PSMD9;PSMD6;PSMD4;PSMD2;PSMD3;CAPN2;AKT1;PSMD1;CAPN1;MAP3K5;MAP2K2;CSNK2A1;ADAM10;SDHC;SDHD;SDHA;SDHB;COX6B1;COX7A2L;ADAM17;CSNK2B;UQCRC1;VDAC3;PPIF;VDAC1;UQCRC2;PPID;RTN3;NDUFB10;PSMD14;NDUFB11;PSMD13;PIK3R4;ITPR1;ITPR2;COX7A2;PSEN1;KLC1;RTN4;UQCRH;APH1A;APH1B;DVL2;FADD;NRBF2;CYC1;NAE1;MAP2K7;NDUFV1;EIF2AK2;CDK5;CALM3;CALM1;CALM2;GSK3B;COX4I1;ATP2A3;PIK3CD;IKBKB;CASP9;PPP3CA;PPP3CB;CASP7;CASP3;RB1CC1;UQCRFS1;COX8A;PSENEN;APAF1;NDUFC2;NDUFC1;TRAF2;WNT9A;WIPI2;TNFRSF1A;PSMA5;PSMA6;PSMA3;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;PLCB2;GAPDH;BECN1;NDUFB9;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;HSD17B10;PSMA7;PSMB6;PSMB7;PSMB4;PSMB2;PSMB3;PSMB1;MAPK3;NDUFA9;NDUFA8;NDUFA7;NDUFA5;CSNK1A1;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;TUBB4A;UQCRHL;PSMC5;PSMC6;PSMC3;APC;PSMC4;PSMC1;NDUFAB1;PSMC2
